Classement,Numero dossard,Equipe,Nom,Temps,Relais numero,Vitesse,Allure
1,11,AJS LA GARDE 1,"DUVEAU,JOSEPH",00:23:59,6,18.0,3:20
2,51,RUNNING CONSEIL 2,"PERRIN,CHRISTIAN",00:24:07,6,17.9,3:21
3,65,NATURE TRAIL VIDAUBAN 3,"BROCHARD,LAURENT",00:24:56,6,17.31,3:28
4,7,CAP GARONNE 3,"MONGABURU,SEBASTIEN",00:25:25,6,16.98,3:32
5,12,AJS LA GARDE MIXTE,"PRIGENT,TANGUY",00:26:31,6,16.28,3:41
6,9,CAP GARONNE 1,"MICHAUX,HERVE",00:27:07,6,15.92,3:46
7,14,SC CHATEAURENARD 1,"MURCIA,DAVID",00:27:16,6,15.83,3:47
8,40,RUNNING CONSEIL 1,"MARCHETTI,JEREMY",00:27:41,6,15.59,3:51
9,10,CSMS LA SEYNE EQUIPE MIXTE 1,"SANTICCIOLI,FREDERIC",00:28:18,6,15.25,3:56
10,13,AJS LA GARDE 2,"PERRIN,SERGE",00:28:20,6,15.24,3:56
11,33,USAM 1,"ROCCHIA,GUILLAUME",00:29:27,6,14.66,4:6
12,81,COURIR A MEYREUIL 2,"VALDERRAMA,FABRICE",00:29:29,6,14.64,4:6
13,47,TEAM BOOBAGUMP,"FARDIN,SAMUEL",00:29:31,6,14.63,4:6
14,1,CAVIGAL NICE SPORTS HOMME,"PIERRAT,PASCAL",00:30:03,6,14.37,4:11
15,6,BSSA 1,"SANCHEZ,DIDIER",00:30:25,6,14.19,4:14
16,56,RESEAU MISTRAL 2 (RMTT TOULON),"JARD,MOHAMED",00:30:28,6,14.17,4:14
17,54,LES K 2 KONTRON,"ROUX,VICTOR",00:30:30,6,14.15,4:14
18,28,CSMS LA SEYNE EQUIPE MIXTE 2,"LABAT,BENJAMIN",00:30:34,6,14.12,4:15
19,3,OS HYERES MASCULIN,"LEQUENNE,FREDERIC",00:30:47,6,14.02,4:17
20,25,SIX FOURS 1,"RAPETO,JOHAN",00:30:57,6,13.95,4:18
21,86,LAVANDOU BORNE ATHLETISME,"DURUDEAU,CHRISTIEN",00:31:39,6,13.64,4:24
22,30,NICE METROPOLE ATHLETISME/EQUI,"ELIE,DOMINIQUE",00:31:40,6,13.63,4:24
23,74,PREPA X PHYS HOMME,"VAGANAY,ALEXIS",00:31:43,6,13.61,4:24
24,27,CSMS LA SEYNE 4,"COQUEMONT,STEPHANE",00:31:44,6,13.6,4:25
25,78,URBAN RUNNERS 1,"CHARENSOL,MATHILDE",00:31:49,6,13.57,4:25
26,2,CAVIGAL NICE SPORTS FEMME,"ATTARD,ILIADE",00:32:01,6,13.48,4:27
27,85,LE ROCHER-LA BEAUCAIRE,"BELGASSI,ILYASS",00:32:22,6,13.34,4:30
28,75,NO FEAR OCR,"SMOUCOVIT,ISABELLE",00:32:26,6,13.31,4:30
29,45,URBAN RUNNERS DU DIMANCHE,"BEAUCHARD,QUENTIN",00:32:36,6,13.24,4:32
30,21,AVAG 1,"TRIBOULET,BERNARD",00:33:13,6,13.0,4:37
31,63,NATURE TRAIL VIDAUBAN 1,"ORLANDINI,JEROME",00:33:33,6,12.87,4:40
32,42,LES FORS EGO AGPM,"ROMARY,NICOLAS",00:33:36,6,12.85,4:40
33,8,CAP GARONNE 2,"DELAGE,CHRISTELLE",00:34:09,6,12.64,4:45
34,77,URBAN RUNNERS 3,"LAUGIER,GILBERT",00:34:16,6,12.6,4:46
35,17,CAP GARONNE 5,"BRACHET,JEAN-PIERRE",00:34:19,6,12.58,4:46
36,62,C.F.P.E.S-TOULON,"OUBADI,ITAC",00:34:27,6,12.53,4:47
37,32,NICE METROPOLE ATHLETISME EQ C,"BASSO,VALERIE",00:34:28,6,12.53,4:47
38,64,NATURE TRAIL VIDAUBAN 2,"FERMIER,GISELE",00:34:51,6,12.39,4:51
39,4,OS HYERES FEMININE,"MOREAU,CELINE",00:35:12,6,12.26,4:54
40,22,AVAG 2,"MAIRE,PHILIPPE",00:35:21,6,12.21,4:55
41,26,SIX FOURS 2,"CARADEC,VANESSA",00:35:22,6,12.21,4:55
42,20,CAP GARONNE 8,"BAUDE,JEAN-PIERRE",00:35:32,6,12.15,4:56
43,31,NICE METROPOLE ATHLETISME/EQUI,"BENELLI,DANE",00:36:02,6,11.98,5:0
44,18,CAP GARONNE 6,"SANCHEZ,NICOLAS",00:36:05,6,11.96,5:1
45,16,CAP GARONNE 4,"NOURRY,CAROLE",00:36:17,6,11.9,5:3
46,57,METROPOLE TPM-PORTS,"ACKLAND,CHRISTOPHER",00:36:22,6,11.87,5:3
47,52,LES JEUNOTS,"BALMAS,ARNAUD",00:36:35,6,11.8,5:5
48,59,HAVE A NICE TEAM,"CARTON,THIBAULT",00:36:37,6,11.79,5:5
49,66,UM AIA CP,"DELORME,ALEXIS",00:36:42,6,11.76,5:6
50,55,RESEAU MISTRAL 1 (RMTT TOULON),"PEYRABOUT,JEAN-BAPTISTE",00:36:43,6,11.76,5:6
51,24,AVAG 4,"LAINE,CHRISTIAN",00:36:48,6,11.73,5:7
52,73,PREPA X PHYS MIXTE,"SAN-MARTIN,STEPHANE",00:36:56,6,11.69,5:8
53,69,SPEEDY GIRLS,"VOSTA,ALINE",00:37:08,6,11.63,5:10
54,34,USAM 2,"MANGIAPANE,CHRISTINE",00:37:11,6,11.61,5:10
55,5,BSSA 2,"PERDRIEL,LAETITIA",00:37:33,6,11.5,5:13
56,76,EPS,"MONIN,GREGOIRE",00:37:45,6,11.44,5:15
57,79,ATC,"LAROQUE,MANON",00:37:52,6,11.4,5:16
58,35,USAM 3,"CARTIER,OLIVIER",00:37:54,6,11.39,5:16
59,80,COURIR A MEYREUIL 1,"DARI,LYDIA",00:37:55,6,11.39,5:16
60,36,USAM 4,"VUILLEMIN,CLEMENT",00:38:18,6,11.27,5:19
61,60,LA TARTIFLETTE JOYEUSE,"MORFIN,OLIVIER",00:38:22,6,11.25,5:20
62,43,PFAF 2,"VAUTIER,GEROME",00:38:25,6,11.24,5:20
63,83,COURIR A MEYREUIL 3,"GARCIA,ROBUSTIANO",00:38:42,6,11.16,5:23
64,68,SPEEDY BOYS,"BAIER,CHRISTIAN",00:38:55,6,11.09,5:25
65,50,LAM GIRLS,"HAMDANI,SARAH",00:39:18,6,10.98,5:28
66,44,PFAF 1,"COIFFARD,VERUSKA",00:39:21,6,10.97,5:28
67,72,THALES TEAM 2,"BOURDEAU,ROMAIN",00:39:23,6,10.96,5:28
68,71,519 GTM EQUIPE 2,"ROUSSIERE,ELODIE",00:39:28,6,10.94,5:29
69,38,BEXTER TEAM,"LAJOLO,CHRISTOPHE",00:39:30,6,10.93,5:29
70,67,ESNA,"TABACCHI,JEREMY",00:39:31,6,10.92,5:30
71,53,THALES TEAM 1,"BOUWYN,DIMITRI",00:39:41,6,10.88,5:31
72,49,LAM BOYS,"WERNER,JEAN-PIERRE",00:39:52,6,10.83,5:32
73,48,SPEED AND SLOW GIRLS,"RODOZ,MICHELE",00:40:20,6,10.7,5:36
74,70,519 GTM EQUIPE 1,"DUVAL,SAMNEL",00:40:47,6,10.59,5:40
75,61,AJS LA GARDE LOISIRS,"LE-GUERN,GUYLAINE",00:40:53,6,10.56,5:41
76,19,CAP GARONNE 7,"ALLARD,DIDIER",00:41:15,6,10.47,5:44
77,29,CSMS LA SEYNE FEMMES RUNNING L,"N'GUYEN-VAN,CHRISTELLE",00:41:22,6,10.44,5:45
78,23,AVAG 3,"MAIRE,KATELL",00:41:27,6,10.41,5:46
79,58,DSDEN TOULON,"PANICO,OLIVIER",00:41:28,6,10.41,5:46
