Classement,Numero dossard,Equipe,Nom,Temps,Relais numero,Vitesse,Allure
1,7,CAP GARONNE 3,"FRATY,JULIEN",00:16:02,1,18.71,3:12
2,11,AJS LA GARDE 1,"WAUTERS,YOHAN",00:16:11,1,18.54,3:14
3,7,CAP GARONNE 3,"GASC,MICHAEL",00:16:15,3,18.46,3:15
4,11,AJS LA GARDE 1,"DECHAND,FLORIEN",00:16:23,5,18.31,3:17
5,7,CAP GARONNE 3,"PELET,THIERRY",00:17:10,5,17.48,3:26
6,9,CAP GARONNE 1,"SURREL,PATRICK",00:17:45,5,16.9,3:33
7,51,RUNNING CONSEIL 2,"MARTY,NICOLAS",00:17:48,1,16.85,3:34
8,9,CAP GARONNE 1,"RULFO,STEPHANE",00:17:50,1,16.82,3:34
9,30,NICE METROPOLE ATHLETISME/EQUI,"BOISSAT-BRON,ILYES",00:17:54,3,16.76,3:35
10,11,AJS LA GARDE 1,"ROBLES-Y-PEREZ,ALEXANDRE",00:17:59,3,16.68,3:36
11,51,RUNNING CONSEIL 2,"CAUMETTE,FRANCOIS",00:18:29,5,16.23,3:42
12,51,RUNNING CONSEIL 2,"AVGEARAUD,GABIEL",00:18:30,3,16.22,3:42
13,86,LAVANDOU BORNE ATHLETISME,"LEVRY,YOAN",00:18:32,1,16.19,3:42
14,9,CAP GARONNE 1,"VISSE,JEROME",00:18:37,3,16.11,3:43
15,40,RUNNING CONSEIL 1,"HOFFMAN,MARIE-PIERRE",00:19:07,1,15.69,3:49
16,85,LE ROCHER-LA BEAUCAIRE,"LE-ROUX,ANTOINE",00:19:08,1,15.68,3:50
17,33,USAM 1,"CLITO,DAVID",00:19:09,1,15.67,3:50
18,14,SC CHATEAURENARD 1,"GUERIN,PHILIPPE",00:19:10,1,15.65,3:50
19,65,NATURE TRAIL VIDAUBAN 3,"GRONIER,ANTOINE",00:19:11,5,15.64,3:50
20,81,COURIR A MEYREUIL 2,"LACROIX,THIERRY",00:19:14,1,15.6,3:51
21,14,SC CHATEAURENARD 1,"WARTELLE,LAURENT",00:19:16,5,15.57,3:51
22,23,AVAG 3,"CECCALDI,ANTHONY",00:19:18,5,15.54,3:52
23,13,AJS LA GARDE 2,"CHANEL,FREDERIC",00:19:19,1,15.53,3:52
24,27,CSMS LA SEYNE 4,"BALLESTERO,DIDIER",00:19:27,3,15.42,3:53
25,13,AJS LA GARDE 2,"BERNUZ,BENJAMIN",00:19:28,5,15.41,3:54
26,40,RUNNING CONSEIL 1,"ISTI-LAURENT,MAGALIE",00:19:31,5,15.37,3:54
27,30,NICE METROPOLE ATHLETISME/EQUI,"HERVE,SEBASTIEN",00:19:34,1,15.33,3:55
28,40,RUNNING CONSEIL 1,"PERRIN,CAROLINE",00:19:38,3,15.28,3:56
29,77,URBAN RUNNERS 3,"MOLINA,DAMIEN",00:19:42,1,15.23,3:56
30,33,USAM 1,"VITRANT,GUILLAUME",00:19:50,3,15.13,3:58
31,1,CAVIGAL NICE SPORTS HOMME,"ISOARDI,JEAN-FRANCOIS",00:19:50,1,15.13,3:58
32,13,AJS LA GARDE 2,"GARCIA,ERIC",00:19:55,3,15.06,3:59
33,14,SC CHATEAURENARD 1,"BELKAID,LAHOIRI",00:20:19,3,14.77,4:4
34,58,DSDEN TOULON,"BOISSON,CYRILLE",00:20:34,1,14.59,4:7
35,49,LAM BOYS,"HARCHI,FOUZI",00:20:42,5,14.49,4:8
36,35,USAM 3,"MARBOEUF,JEAN-BAPTISTE",00:20:43,1,14.48,4:9
37,76,EPS,"BRILLAULT,FRANCK",00:20:46,3,14.45,4:9
38,3,OS HYERES MASCULIN,"CASSERON,DANIEL",00:20:50,1,14.4,4:10
39,25,SIX FOURS 1,"MORON,CYRIL",00:20:56,5,14.33,4:11
40,54,LES K 2 KONTRON,"NAVARRO,MURIEL",00:20:56,1,14.33,4:11
41,4,OS HYERES FEMININE,"LOUIS,CELINE",00:21:01,1,14.27,4:12
42,12,AJS LA GARDE MIXTE,"NIERMARECHAL,AURORE",00:21:04,1,14.24,4:13
43,10,CSMS LA SEYNE EQUIPE MIXTE 1,"JOURDAN,MARIE",00:21:05,1,14.23,4:13
44,25,SIX FOURS 1,"CHAUVEAU,ESTELLE",00:21:06,1,14.22,4:13
45,27,CSMS LA SEYNE 4,"GALDEANO,JEAN-PAUL",00:21:08,5,14.2,4:14
46,3,OS HYERES MASCULIN,"TOMATIS,PHILIPPE",00:21:14,5,14.13,4:15
47,74,PREPA X PHYS HOMME,"ALENDA,PHILIPPE",00:21:15,5,14.12,4:15
48,10,CSMS LA SEYNE EQUIPE MIXTE 1,"LE-LAY,ELODIE",00:21:16,5,14.11,4:15
49,62,C.F.P.E.S-TOULON,"COLOMBANI,VETEA",00:21:19,1,14.07,4:16
50,18,CAP GARONNE 6,"HILL,CHRISTOPHE",00:21:19,5,14.07,4:16
51,33,USAM 1,"DOWNES,NICOLAS",00:21:20,5,14.06,4:16
52,3,OS HYERES MASCULIN,"DECHANDON,CLAUDE",00:21:22,3,14.04,4:16
53,12,AJS LA GARDE MIXTE,"PALAZY,JUSTINE",00:21:22,5,14.04,4:16
54,74,PREPA X PHYS HOMME,"AZZILINA,JULIEN",00:21:22,3,14.04,4:16
55,10,CSMS LA SEYNE EQUIPE MIXTE 1,"LACOTE,VALERIE",00:21:28,3,13.98,4:18
56,1,CAVIGAL NICE SPORTS HOMME,"ROBINI,FREDERIC",00:21:29,5,13.96,4:18
57,76,EPS,"PAPINI,FREDERIC",00:21:30,5,13.95,4:18
58,81,COURIR A MEYREUIL 2,"DARI,JEAN",00:21:34,3,13.91,4:19
59,57,METROPOLE TPM-PORTS,"REMOLEUR,GABRIEL",00:21:37,1,13.88,4:19
60,2,CAVIGAL NICE SPORTS FEMME,"CERATO,CHLOE",00:21:41,1,13.84,4:20
61,37,USAM 5,"BARSOTTI,IRIS",00:21:43,5,13.81,4:21
62,12,AJS LA GARDE MIXTE,"LUIZY,AURELIE",00:21:45,3,13.79,4:21
63,78,URBAN RUNNERS 1,"CARLON-GUICHOUX,NATHALIE",00:21:48,5,13.76,4:22
64,77,URBAN RUNNERS 3,"LASSALLE,THOMAS",00:21:48,3,13.76,4:22
65,75,NO FEAR OCR,"AKTAS,ADEY",00:22:00,3,13.64,4:24
66,78,URBAN RUNNERS 1,"DEFENOURLEME,JEROME",00:22:04,1,13.6,4:25
67,53,THALES TEAM 1,"HUMBERT,CEDRIC",00:22:09,3,13.54,4:26
68,1,CAVIGAL NICE SPORTS HOMME,"SALEMBIER,MAXIME",00:22:11,3,13.52,4:26
69,49,LAM BOYS,"KIMMEL,CHRISTOPHE",00:22:12,1,13.51,4:26
70,68,SPEEDY BOYS,"DEL-RIO,JEAN-MARC",00:22:13,5,13.5,4:27
71,8,CAP GARONNE 2,"BERTONE,CATHERINE",00:22:17,1,13.46,4:27
72,6,BSSA 1,"LESAGE,PATRICK",00:22:17,3,13.46,4:27
73,62,C.F.P.E.S-TOULON,"GUERRAZ,BERTRAND",00:22:19,3,13.44,4:28
74,27,CSMS LA SEYNE 4,"LE-CAM,LAURENT",00:22:22,1,13.41,4:28
75,34,USAM 2,"SAENKO,MARINA",00:22:25,3,13.38,4:29
76,70,519 GTM EQUIPE 1,"DAMASEAU,GERARD",00:22:26,1,13.37,4:29
77,6,BSSA 1,"POUPIN,JEAN-MARC",00:22:29,1,13.34,4:30
78,37,USAM 5,"DESMEULES,BAPTISTE",00:22:32,3,13.31,4:30
79,70,519 GTM EQUIPE 1,"ALIZARD,BENOIT",00:22:34,5,13.29,4:31
80,68,SPEEDY BOYS,"CROGUENNEC,ALEXANDRE",00:22:34,1,13.29,4:31
81,67,ESNA,"CHAPELLE-PRUDHOMME,REMY",00:22:38,3,13.25,4:32
82,30,NICE METROPOLE ATHLETISME/EQUI,"GUILLON,EMMANUEL",00:22:46,5,13.18,4:33
83,76,EPS,"MULLER,CATHY",00:22:46,1,13.18,4:33
84,45,URBAN RUNNERS DU DIMANCHE,"GRENIER,GILLES",00:22:54,5,13.1,4:35
85,2,CAVIGAL NICE SPORTS FEMME,"ROUGIER,DOMINIQUE",00:22:59,3,13.05,4:36
86,62,C.F.P.E.S-TOULON,"LHUILLIER,KEVIN",00:23:06,5,12.99,4:37
87,32,NICE METROPOLE ATHLETISME EQ C,"BOTOBAL,ELIA",00:23:07,3,12.98,4:37
88,8,CAP GARONNE 2,"DI-CIOCCIO,CHRISTINE",00:23:09,3,12.96,4:38
89,26,SIX FOURS 2,"BOUVANT,VINCENT",00:23:12,1,12.93,4:38
90,70,519 GTM EQUIPE 1,"VENEC,LOIC",00:23:13,3,12.92,4:39
91,39,SECOV,"BAHON,JULIEN",00:23:16,5,12.89,4:39
92,52,LES JEUNOTS,"BACCIARELLI,HUGO",00:23:17,5,12.88,4:39
93,74,PREPA X PHYS HOMME,"GUEVEL,TITOUAN",00:23:21,1,12.85,4:40
94,75,NO FEAR OCR,"CAVE,JULIEN",00:23:22,5,12.84,4:40
95,86,LAVANDOU BORNE ATHLETISME,"GANBIN,ARNAUD",00:23:27,5,12.79,4:41
96,86,LAVANDOU BORNE ATHLETISME,"MARTIN,LOLA",00:23:31,3,12.76,4:42
97,67,ESNA,"KERN,YANNICK",00:23:35,5,12.72,4:43
98,26,SIX FOURS 2,"LE-GARREC,CHLOE",00:23:37,5,12.7,4:43
99,5,BSSA 2,"REGNIER,CLAIRE",00:23:37,3,12.7,4:43
100,67,ESNA,"ZAMOUR,ARNAUD",00:23:39,1,12.68,4:44
101,78,URBAN RUNNERS 1,"RICHARD,LORIS",00:23:40,3,12.68,4:44
102,83,COURIR A MEYREUIL 3,"BENSOT,ALI",00:23:42,1,12.66,4:44
103,66,UM AIA CP,"PROD'HOMME,PIERRE",00:23:47,5,12.61,4:45
104,5,BSSA 2,"GUERIN,EMILIE",00:23:50,5,12.59,4:46
105,79,ATC,"CHESNE,KEVIN",00:23:53,1,12.56,4:47
106,28,CSMS LA SEYNE EQUIPE MIXTE 2,"CATANESE,LAURENCE",00:23:55,5,12.54,4:47
107,77,URBAN RUNNERS 3,"GRENIER,CELINE",00:23:56,5,12.53,4:47
108,8,CAP GARONNE 2,"GARCIN,JANY",00:23:59,5,12.51,4:48
109,61,AJS LA GARDE LOISIRS,"PONZO,STEPHANIE",00:24:00,1,12.5,4:48
110,19,CAP GARONNE 7,"VIZIER,JULIETTE",00:24:03,5,12.47,4:49
111,59,HAVE A NICE TEAM,"BOURDEAU,THOMAS",00:24:04,3,12.47,4:49
112,54,LES K 2 KONTRON,"COLLIN,YANNICK",00:24:07,5,12.44,4:49
113,42,LES FORS EGO AGPM,"DESPIERRES,EMILIE",00:24:07,3,12.44,4:49
114,64,NATURE TRAIL VIDAUBAN 2,"BROCHOT,VIRGINE",00:24:11,3,12.41,4:50
115,47,TEAM BOOBAGUMP,"SOUIDI,BRAHIM",00:24:13,1,12.39,4:51
116,5,BSSA 2,"DAMIANO,JULIA",00:24:17,1,12.35,4:51
117,85,LE ROCHER-LA BEAUCAIRE,"DE-GOUREY,NICOLAS",00:24:20,5,12.33,4:52
118,85,LE ROCHER-LA BEAUCAIRE,"GUINAMAND,CORINNE",00:24:21,3,12.32,4:52
119,66,UM AIA CP,"COUBRONNE,JULIEN",00:24:23,1,12.3,4:53
120,2,CAVIGAL NICE SPORTS FEMME,"GUIDARD,SYLVIE",00:24:26,5,12.28,4:53
121,21,AVAG 1,"MORIN,FLORENT",00:24:26,1,12.28,4:53
122,81,COURIR A MEYREUIL 2,"BILLON,LUDOVIC",00:24:29,5,12.25,4:54
123,6,BSSA 1,"DOUVRAIN,GUILLAUME",00:24:33,5,12.22,4:55
124,37,USAM 5,"GIOVANNELLI,CHRISTINE",00:24:35,1,12.2,4:55
125,46,LA LOCO COMPAGNY,"ANTON,PATRICK",00:24:35,5,12.2,4:55
126,36,USAM 4,"GIOVANNELLI,DOMINIQUE",00:24:36,1,12.2,4:55
127,61,AJS LA GARDE LOISIRS,"DJORANTY,GERARD",00:24:39,5,12.17,4:56
128,65,NATURE TRAIL VIDAUBAN 3,"LEMARIE,CHRISTINE",00:24:41,1,12.15,4:56
129,66,UM AIA CP,"JAEN,CORALIE",00:24:41,3,12.15,4:56
130,21,AVAG 1,"PETIT,PHILIPPE",00:24:42,5,12.15,4:56
131,75,NO FEAR OCR,"LABOURE,LESLIE",00:24:43,1,12.14,4:57
132,16,CAP GARONNE 4,"SAVOLDELLI,ANGELA",00:24:45,1,12.12,4:57
133,22,AVAG 2,"LEBERT,CLAUDINE",00:24:46,1,12.11,4:57
134,45,URBAN RUNNERS DU DIMANCHE,"PINELLE,SARAH",00:24:49,1,12.09,4:58
135,63,NATURE TRAIL VIDAUBAN 1,"BOULLARD,CORINNE",00:24:59,5,12.01,4:60
136,55,RESEAU MISTRAL 1 (RMTT TOULON),"DESBLES,EMERIC",00:25:00,3,12.0,5:0
137,34,USAM 2,"PIALAT,SEVERINE",00:25:03,5,11.98,5:1
138,31,NICE METROPOLE ATHLETISME/EQUI,"BASSO,MATHIS",00:25:03,5,11.98,5:1
139,49,LAM BOYS,"CABROL,CYRIL",00:25:04,3,11.97,5:1
140,17,CAP GARONNE 5,"ETTORI,OLIVIER",00:25:07,1,11.94,5:1
141,26,SIX FOURS 2,"DI-MARTINO,LAURA",00:25:09,3,11.93,5:2
142,25,SIX FOURS 1,"BARAN,CHARLINE",00:25:12,3,11.9,5:2
143,34,USAM 2,"FRONCZACK,ISABELLE",00:25:17,1,11.87,5:3
144,57,METROPOLE TPM-PORTS,"AREND,REBECCA",00:25:19,3,11.85,5:4
145,71,519 GTM EQUIPE 2,"HELMER,ALEXANDRA",00:25:24,1,11.81,5:5
146,46,LA LOCO COMPAGNY,"PERRIN-ROBBA,FABIENNE",00:25:25,3,11.8,5:5
147,32,NICE METROPOLE ATHLETISME EQ C,"LOVASCO,ISABELLE",00:25:26,5,11.8,5:5
148,63,NATURE TRAIL VIDAUBAN 1,"HOURIEZ,PAULINE",00:25:30,3,11.76,5:6
149,73,PREPA X PHYS MIXTE,"REYMOND,CORINE",00:25:36,3,11.72,5:7
150,56,RESEAU MISTRAL 2 (RMTT TOULON),"JARD,PASCAL",00:25:43,5,11.67,5:9
151,83,COURIR A MEYREUIL 3,"ALFEREZ,JEAN-PIERRE",00:25:49,3,11.62,5:10
152,29,CSMS LA SEYNE FEMMES RUNNING L,"GIMENEZ,MARTINE",00:25:52,1,11.6,5:10
153,19,CAP GARONNE 7,"BEAUMONI,MARIE-JEANNE",00:25:56,1,11.57,5:11
154,50,LAM GIRLS,"FELLAH,SALIMA",00:25:56,1,11.57,5:11
155,48,SPEED AND SLOW GIRLS,"LOF,SANDRINE",00:26:00,1,11.54,5:12
156,47,TEAM BOOBAGUMP,"EL-OUADAH,AZIZ",00:26:01,5,11.53,5:12
157,43,PFAF 2,"LUGAN,AURELIE",00:26:02,1,11.52,5:12
158,53,THALES TEAM 1,"BARANDE,SYLVIE",00:26:02,1,11.52,5:12
