Classement,Numero dossard,Equipe,Nom,Temps,Relais numero,Vitesse,Allure
159,44,PFAF 1,"BAFFERT,CAROLE",00:26:16,3,11.42,5:15
160,52,LES JEUNOTS,"URBANI,PIERRE",00:26:21,3,11.39,5:16
161,28,CSMS LA SEYNE EQUIPE MIXTE 2,"BERTHEZENE,DIDIER",00:26:23,3,11.37,5:17
162,54,LES K 2 KONTRON,"DANOS,CAROLINE",00:26:25,3,11.36,5:17
163,60,LA TARTIFLETTE JOYEUSE,"BIRIEN,BRUNO",00:26:34,5,11.29,5:19
164,56,RESEAU MISTRAL 2 (RMTT TOULON),"PALANQUE,LAURENT",00:26:42,3,11.24,5:20
165,35,USAM 3,"URFELS,ANNE",00:26:48,5,11.19,5:22
166,79,ATC,"LAUZE,AURELIE",00:26:54,5,11.15,5:23
167,22,AVAG 2,"CHEVALIER,KARINE",00:27:02,3,11.1,5:24
168,47,TEAM BOOBAGUMP,"LOICQ,GILONNE",00:27:06,3,11.07,5:25
169,20,CAP GARONNE 8,"SAMOU,VANESSA",00:27:07,5,11.06,5:25
170,45,URBAN RUNNERS DU DIMANCHE,"GRENIER,CHRISTINE",00:27:12,3,11.03,5:26
171,80,COURIR A MEYREUIL 1,"LANGLOIS,MELLIE",00:27:15,5,11.01,5:27
172,72,THALES TEAM 2,"BRIERE,MARIE",00:27:15,3,11.01,5:27
173,4,OS HYERES FEMININE,"NUGUE,SYLVIE",00:27:18,5,10.99,5:28
174,17,CAP GARONNE 5,"HILI,DELPHINE",00:27:23,5,10.96,5:29
175,20,CAP GARONNE 8,"CLEMARES,CARINA",00:27:27,1,10.93,5:29
176,43,PFAF 2,"GOUJAT,ANGELIQUE",00:27:27,5,10.93,5:29
177,73,PREPA X PHYS MIXTE,"BOURIN,PAULINE",00:27:28,5,10.92,5:30
178,35,USAM 3,"GARCIA,PAUL",00:27:29,3,10.92,5:30
179,18,CAP GARONNE 6,"CHARAS-BOUSKA,MAGALIE",00:27:33,1,10.89,5:31
180,16,CAP GARONNE 4,"SOTO-GIMENEZ,STEPHANIE",00:27:39,5,10.85,5:32
181,46,LA LOCO COMPAGNY,"QUELO,JEAN-LUC",00:27:41,1,10.84,5:32
182,59,HAVE A NICE TEAM,"DA-SILVA,DANIEL",00:27:46,1,10.8,5:33
183,80,COURIR A MEYREUIL 1,"CARUSO,SYLVIE",00:27:50,1,10.78,5:34
184,55,RESEAU MISTRAL 1 (RMTT TOULON),"YEBRA,GERARD",00:27:53,5,10.76,5:35
185,39,SECOV,"LANOE,STEPHANIE",00:27:54,1,10.75,5:35
186,59,HAVE A NICE TEAM,"BROSSET,CLEMENT",00:27:56,5,10.74,5:35
187,61,AJS LA GARDE LOISIRS,"BAILLON-DUCHAUSSOY,CELINE",00:27:59,3,10.72,5:36
188,58,DSDEN TOULON,"AGULLO,MARC",00:28:03,3,10.7,5:37
189,65,NATURE TRAIL VIDAUBAN 3,"HERMELLIN,FANNY",00:28:04,3,10.69,5:37
190,71,519 GTM EQUIPE 2,"VINCENT-SUCHET,CHLOE",00:28:13,3,10.63,5:39
191,64,NATURE TRAIL VIDAUBAN 2,"LANGLET,SYLVIE",00:28:18,5,10.6,5:40
192,32,NICE METROPOLE ATHLETISME EQ C,"PIRIDIU,NADIA",00:28:24,1,10.56,5:41
193,60,LA TARTIFLETTE JOYEUSE,"GAROCHE,ANNE-SYLVIE",00:28:25,1,10.56,5:41
194,41,AGPM'S GIRLS,"MARCIALIS,SOPHIE",00:28:25,3,10.56,5:41
195,64,NATURE TRAIL VIDAUBAN 2,"CHRISTOFARO,NATHALIE",00:28:27,1,10.54,5:41
196,29,CSMS LA SEYNE FEMMES RUNNING L,"COLIN,FLORENCE",00:28:27,5,10.54,5:41
197,69,SPEEDY GIRLS,"BENNEACER,NACERA",00:28:40,3,10.47,5:44
198,29,CSMS LA SEYNE FEMMES RUNNING L,"BRESSAN,MARTINE",00:28:45,3,10.43,5:45
199,48,SPEED AND SLOW GIRLS,"OLFERS,JOELLE",00:28:57,3,10.36,5:47
200,24,AVAG 4,"PETIT,NATHALIE",00:28:59,3,10.35,5:48
201,24,AVAG 4,"BUISSON,LOREN",00:29:04,1,10.32,5:49
202,36,USAM 4,"LEFEVRE,MARIE-HELENE",00:29:14,3,10.26,5:51
203,68,SPEEDY BOYS,"FERRANDE,JORDAN",00:29:26,3,10.19,5:53
204,52,LES JEUNOTS,"PLAUCHIER,CAROLE",00:29:30,1,10.17,5:54
205,42,LES FORS EGO AGPM,"MOLINA,LAURA",00:29:43,1,10.1,5:57
206,4,OS HYERES FEMININE,"BERENGUIER,STEPHANIE",00:29:47,3,10.07,5:57
207,24,AVAG 4,"MAIRE,NOEMIE",00:29:48,5,10.07,5:58
208,38,BEXTER TEAM,"FINEZ,BEATRICE",00:29:51,3,10.05,5:58
209,21,AVAG 1,"LEBERT,JEAN-MARIE",00:30:00,3,10.0,6:0
210,60,LA TARTIFLETTE JOYEUSE,"AUSSOURD,JEAN-CHARLES",00:30:08,3,9.96,6:2
211,22,AVAG 2,"CHEMIN,LAURENCE",00:30:09,5,9.95,6:2
212,48,SPEED AND SLOW GIRLS,"PIERRON,SEVERINE",00:30:09,5,9.95,6:2
213,31,NICE METROPOLE ATHLETISME/EQUI,"NICOLAIS,FLORENCE",00:30:10,1,9.94,6:2
214,69,SPEEDY GIRLS,"VALENTI,CHRISTEL",00:30:22,1,9.88,6:4
215,43,PFAF 2,"FLORENTIN,ALAIN",00:30:23,3,9.87,6:5
216,44,PFAF 1,"NAIRAU,HEIARII",00:30:27,1,9.85,6:5
217,50,LAM GIRLS,"BRUNO,VALERIE",00:30:31,3,9.83,6:6
218,20,CAP GARONNE 8,"PENTINAT,LYDIA",00:30:35,3,9.81,6:7
219,38,BEXTER TEAM,"GOMES,JUSTINE",00:30:40,1,9.78,6:8
220,42,LES FORS EGO AGPM,"PELLEGRINO,KARINE",00:30:42,5,9.77,6:8
221,39,SECOV,"BRIAND,CHRISTINE",00:30:48,3,9.74,6:10
222,28,CSMS LA SEYNE EQUIPE MIXTE 2,"REGNIER,STEPHANIE",00:30:49,1,9.73,6:10
223,83,COURIR A MEYREUIL 3,"BENVENUTI,CLAUDE",00:30:49,5,9.73,6:10
224,57,METROPOLE TPM-PORTS,"AUBRY,THIERRY",00:31:01,5,9.67,6:12
225,44,PFAF 1,"KLEIN-DEHON,CELINE",00:31:01,5,9.67,6:12
226,79,ATC,"CARAYOL,JEAN-MICHEL",00:31:06,3,9.65,6:13
227,41,AGPM'S GIRLS,"PITUELLO,MURIELLE",00:31:10,1,9.63,6:14
228,73,PREPA X PHYS MIXTE,"FREY,RUTH",00:31:11,1,9.62,6:14
229,56,RESEAU MISTRAL 2 (RMTT TOULON),"MIFSUD,JEAN-MARC",00:31:27,1,9.54,6:17
230,53,THALES TEAM 1,"MIOQUE,ALEXANDRA",00:31:44,5,9.45,6:21
231,80,COURIR A MEYREUIL 1,"ASTRUC,CHRISTINE",00:31:54,3,9.4,6:23
232,72,THALES TEAM 2,"BIAU,CHRISTOPHE",00:32:01,1,9.37,6:24
233,72,THALES TEAM 2,"CARBONI,JEAN",00:32:09,5,9.33,6:26
234,31,NICE METROPOLE ATHLETISME/EQUI,"PLACZEK,SYLVIE",00:32:29,3,9.24,6:30
235,23,AVAG 3,"LAINE,AUDREY",00:32:30,3,9.23,6:30
236,55,RESEAU MISTRAL 1 (RMTT TOULON),"DURAND,THIERRY",00:32:33,1,9.22,6:31
237,19,CAP GARONNE 7,"POLETTI,GHYSLAINE",00:33:14,3,9.03,6:39
238,63,NATURE TRAIL VIDAUBAN 1,"BROCHARD,CECILE",00:33:15,1,9.02,6:39
239,69,SPEEDY GIRLS,"MERIOT,CLAIRE",00:33:16,5,9.02,6:39
240,16,CAP GARONNE 4,"MARET,EVELYNE",00:33:28,3,8.96,6:42
241,50,LAM GIRLS,"CHIATTELLA,NATHALIE",00:33:48,5,8.88,6:46
242,71,519 GTM EQUIPE 2,"GARCIA,PAULINE",00:34:14,5,8.76,6:51
243,23,AVAG 3,"AUGEY,AURELIE",00:34:20,1,8.74,6:52
244,18,CAP GARONNE 6,"KAUFFER,FRANCOISE",00:34:58,3,8.58,6:60
245,58,DSDEN TOULON,"BARBI,STEPHANIE",00:35:10,5,8.53,7:2
246,36,USAM 4,"MANGIAPANE,SERGE",00:35:43,5,8.4,7:9
247,17,CAP GARONNE 5,"PINTO,MARYSE",00:35:55,3,8.35,7:11
248,41,AGPM'S GIRLS,"AMADIO,BRIGITTE",00:38:02,5,7.89,7:36
249,38,BEXTER TEAM,"ABBES,MELISSA",00:41:12,5,7.28,8:14
